key,Result
21338,1
21339,1
21340,-1
21341,1
21342,1
21343,1
21344,1
21345,-1
21346,1
21347,1
21348,1
21349,1
21350,1
21351,1
21352,1
21353,1
21354,1
21355,1
21356,1
21357,-1
21358,1
21359,-1
21360,1
21361,1
21362,1
21363,1
21364,1
21365,1
21366,1
21367,-1
21368,1
21369,1
21370,1
21371,-1
21372,1
21373,1
21374,1
21375,1
21376,1
21377,1
21378,1
21379,1
21380,1
21381,1
21382,1
21383,1
21384,1
21385,1
21386,1
21387,1
21388,1
21389,1
21390,1
21391,1
21392,1
21393,1
21394,1
21395,-1
21396,1
21397,1
21398,1
21399,1
21400,-1
21401,1
21402,1
21403,1
21404,1
21405,1
21406,1
21407,1
21408,-1
21409,1
21410,1
21411,-1
21412,1
21413,1
21414,1
21415,1
21416,1
21417,-1
21418,1
21419,1
21420,1
21421,1
21422,1
21423,1
21424,1
21425,1
21426,-1
21427,1
21428,1
21429,1
21430,1
21431,1
21432,-1
21433,1
21434,1
21435,1
21436,1
21437,1
21438,1
21439,1
21440,1
21441,1
21442,-1
21443,1
21444,-1
21445,1
21446,1
21447,1
21448,1
21449,1
21450,1
21451,1
21452,1
21453,1
21454,1
21455,1
21456,-1
21457,1
21458,1
21459,-1
21460,1
21461,-1
21462,1
21463,1
21464,1
21465,1
21466,1
21467,1
21468,1
21469,1
21470,1
21471,1
21472,1
21473,1
21474,1
21475,1
21476,-1
21477,1
21478,1
21479,1
21480,1
21481,1
21482,1
21483,1
21484,1
21485,1
21486,1
21487,1
21488,1
21489,1
21490,-1
21491,1
21492,1
21493,1
21494,1
21495,1
21496,1
21497,1
21498,1
21499,1
21500,1
21501,1
21502,1
21503,-1
21504,1
21505,1
21506,1
21507,1
21508,1
21509,1
21510,1
21511,1
21512,1
21513,1
21514,1
21515,1
21516,1
21517,1
21518,1
21519,1
21520,1
21521,1
21522,1
21523,-1
21524,1
21525,1
21526,1
21527,1
21528,1
21529,-1
21530,1
21531,1
21532,1
21533,1
21534,-1
21535,1
21536,1
21537,1
21538,1
21539,1
21540,1
21541,1
21542,1
21543,1
21544,1
21545,1
21546,-1
21547,1
21548,1
21549,1
21550,1
21551,1
21552,1
21553,1
21554,-1
21555,1
21556,1
21557,1
21558,1
21559,1
21560,-1
21561,1
21562,1
21563,1
21564,1
21565,-1
21566,1
21567,1
21568,1
21569,1
21570,1
21571,1
21572,1
21573,1
21574,1
21575,1
21576,-1
21577,1
21578,1
21579,-1
21580,1
21581,1
21582,1
21583,1
21584,1
21585,1
21586,1
21587,1
21588,1
21589,1
21590,1
21591,1
21592,1
21593,1
21594,-1
21595,1
21596,1
21597,1
21598,1
21599,1
21600,1
21601,1
21602,1
21603,1
21604,1
21605,1
21606,1
21607,1
21608,1
21609,-1
21610,1
21611,1
21612,1
21613,1
21614,1
21615,1
21616,1
21617,1
21618,1
21619,1
21620,1
21621,1
21622,1
21623,1
21624,1
21625,1
21626,1
21627,1
21628,1
21629,1
21630,1
21631,1
21632,-1
21633,-1
21634,1
21635,1
21636,1
21637,1
21638,1
21639,1
21640,1
21641,1
21642,-1
21643,1
21644,1
21645,1
21646,1
21647,1
21648,1
21649,1
21650,1
21651,1
21652,1
21653,1
21654,1
21655,1
21656,1
21657,1
21658,1
21659,-1
21660,1
21661,1
21662,1
21663,1
21664,1
21665,1
